Africa,Algeria,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 500,USD 200,N/A,USD 200,19% on total invoice,,WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,Algeria,Workforce Africa,David,Preferred Vendor,Expat EOR,USD 700 - 800,USD 350 - equivalent of service fee,1 month salary,USD 350,19% on total invoice,,USD 550,USD 200,N/A,USD 200,19% on total invoice,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Algeria,Africa Deployments ,David,Backup Vendor,Local EOR ,,,,,,,USD 550,USD 350 ,,,,,AHR,,Established Contact,eugenio@africa-deployments.com,Euginio Maggi,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1pqMHaiN28CbYnb864aFUXHGpA03JNy95qDcWX8GeFxI/edit,"July 15, 2026",
Africa,Algeria,Africa HR Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 490,USD 390 ,1 month,USD 90,N/A,third-party expenses and disbursements are charged at cost + 10%.,AHR,Uses Vendor,Established Contact,ggeraghty@africa-hr.com,Grant Geraghty,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/16l8VyrJGEBOUb3_o77qAv4YEy0q7AgTQuRDgskl7-3Y/edit,"June 17, 2026",
Africa,Algeria,Africa HR Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 690 ,USD 390 ,1 month,USD 90,N/A,third-party expenses and disbursements are charged at cost + 10%.,AHR,Uses Vendor,Established Contact,ggeraghty@africa-hr.com,Grant Geraghty,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/16l8VyrJGEBOUb3_o77qAv4YEy0q7AgTQuRDgskl7-3Y/edit,"June 17, 2026",
Africa,Algeria,Rivermate,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 300,1 month ,N/A,The VAT applies to the service fee 7.5%,Out of cycle fee: We Charge 6% on off cycle payments. 2.5% FX charge on Total Invoice ,,,Established Contact,karina.guevara@serviapgroup.com,Karina Guevara,,Inactive,,,Tier 0
Africa,Algeria,Horizons ,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 500,1 month ,N/A,N/A,,USD 299,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Europe,Andorra,Bradford Jacobs,Jasmine,Backup Vendor,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Andorra,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 599,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Andorra,Human Capital,David,Preferred Vendor,Local EOR ,EUR 650 - 750,,"1 month, after one year of effective employment the deposit is to be increased on monthly accrual basis of 0.67% of the annual salary per month.",N/A,,"• For salaries higher than EUR 5000, EOR fee could be negotiated",EUR 500 or 10%,,"1 month, after one year of effective employment the deposit is to be increased on monthly accrual basis of 0.67% of the annual salary per month.",N/A,,"• For salaries higher than EUR 5000, EOR fee could be negotiated",,Direct Entity,,pmueller@andorra-solutions.com,Patrick Mueller,"5 June, 2027",Active,https://docs.google.com/spreadsheets/d/1lbPDvJnRNhUOIa1kMUTZSWXyQgK8hGN32-E_upt9YyA/edit,6/4/2026,
Africa,Angola,Workforce Africa,David,Preferred Vendor,Local EOR ,(Gross salary * 15%) + (USD 150 - 250),USD 350 - 450,1 month salary,USD 350,14% on service fee,,15%,USD 200,N/A,USD 200,14% on service fee,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Angola,Workforce Africa,David,Preferred Vendor,Expat EOR,(Gross salary * 18%) + (USD 150 - 250),USD 350 - 450,1 month salary,USD 350,14% on service fee,,18%,USD 200,N/A,USD 200,14% on service fee,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Angola,Workpay ,David,Backup Vendor,Local EOR ,,,,,,,USD 720 ,N/A,1 month Salary ,N/A,,,WKP,Uses Vendor,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,"July 15, 2026",Tier 2
Africa,Angola,Workpay ,David,Backup Vendor,Expat EOR,,,,,,,USD 720 ,N/A,1 month Salary ,N/A,,,WKP,Uses Vendor,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,"July 15, 2026",Tier 2
Latin America,Argentina,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Latin America,Argentina,4Geeks,David,Poor Quality Vendor,Local EOR ,,,,,,,USD 399,N/A,,N/A,$0,,,Direct Entity,,alpocr@4geeks.io,-,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/19EU-LvksqTpzcFGGEJsCpgqYNmYU7SsAiH_efIfxMiw/edit,"July 15, 2026",
Latin America,Argentina,Rivermate,David,Backup Vendor,Local EOR ,,,,,,,"USD 250 

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100

Bank Fee per Invoice: USD 69
2.5% FX charge on Total Invoice",USD 100,1 month,N/A,, ,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Argentina,Rivermate,David,Backup Vendor,Expat EOR,,,,,,,"USD 550

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 300,1 month,N/A,,Bank Fee per Invoice: USD 69. 2.5% FX charge on Total Invoice ,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Argentina,Enterprise Workforce Solutions,Jasmine,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Latin America,Argentina,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Expat EOR,,,,,,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Latin America,Argentina,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Argentina,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Entity not operational,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Latin America,Argentina,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,USD 80 (wet-signing fee),N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Latin America,Argentina,Roots,David,Backup Vendor,Local EOR ,,,,,,,"• 1 pax: USD 450/pax
• 2-5 pax: USD 400/pax
• 6 or more: USD 350/pax",N/A,2 months,N/A,N/A,• USD 40 for medical check in 1st month + 30 USD/month for reimbursement of connectivity expenses for remote workers according to local regulations,,Direct Entity,Established Contact,horacio@rootseor.com,Horacio Represas,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/18MUec3UsUX-IW8iusItaN4QxHtLexbNeYHFI1AvVdxo/edit,"June 4, 2026",
Latin America,Argentina,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD $750 or 13% of total monthly employee cost (whichever is greater) per Employee,USD 120,2 x monthly total employee cost	,USD 120,21% on total invoice,,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Asia,Armenia,Vardanyan & Partners,David,Preferred Vendor,Local EOR ,EUR 350 - 450,EUR 350 - 450,2 months,N/A,N/A,,EUR 200,,2 months,N/A,N/A,,,Direct Entity,,nerses@vardanyanlaw.com,Nerses Isajanyan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-S6EMC4nWd03jxoWEbiG1hmUNCMbwymQPPU4RmHampk/edit,7/15/2026,
Asia,Armenia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Armenia,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Asia,Armenia,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Asia,Armenia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Asia,Armenia,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Ocenia,Australia,BVTalents,David,,Local EOR ,,,,,,,7% on TEC,,20%,N/A,,• support across every state in Australia,,Direct Entity,,bastiaan@bvtalent.com.au,Bastiaan Vermeulen,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1nP5_JYp94kF_KiWLsifCFouv3UBuP9_c6jLJOkQnSM4/edit,7/15/2026,
Ocenia,Australia,ABN,David,Backup Vendor,Local EOR ,,,,,,,10% on TEC,,20%,N/A,,,,Direct Entity,,aarongarry@abnaustralia.com.au,Aaron Garry,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1GTBlvN1kWUOFDlXFIOLGQ--6xgSh8uiamwDaK7ekErI/edit,7/15/2026,
Ocenia,Australia,Procloz,David,,Local EOR ,,,,,,,USD 435,N/A,1 month,N/A,N/A,• Uses a third party platform to manage leaves,PRO,Direct Entity,Signed MSA,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
Ocenia,Australia,Procloz,David,,Expat EOR,,,,,,,USD 800,N/A,1 month,N/A,N/A,"• Needs CV to check eligibility
• Uses a third party platform to manage leaves",PRO,Direct Entity,Signed MSA,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
Ocenia,Australia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Ocenia,Australia,Horizons ,David,Backup Vendor,Expat EOR,,,,,,,USD 599,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Ocenia,Australia,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Ocenia,Australia,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Ocenia,Australia,Tarmack,David,Preferred Vendor,Local EOR ,USD 349 - 449,,TBC,,TBC,,"• USD199 (1 to 5) 
• USD 179 (6 to 10) 
• USD 159 (11+)",TBC,TBC,TBC,TBC,,,,,"manish.j@tarmack.com,
ashish.sidhu@tarmack.com",Manish Jajodia,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1XNZNgANvT6LbL8gQ2Lle69EDiIqrEXD1dDB_M3qf-bQ/edit,6/10/2026,
Ocenia,Australia,Tarmack,David,Preferred Vendor,Expat EOR,USD 549 - 649,,TBC,,,,USD 299,TBC,TBC,TBC,TBC,,,,,"manish.j@tarmack.com,
ashish.sidhu@tarmack.com",Manish Jajodia,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1XNZNgANvT6LbL8gQ2Lle69EDiIqrEXD1dDB_M3qf-bQ/edit,6/10/2026,
Ocenia,Australia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
•  Remote is unable to sponsor work permits for employees in Australia due to local regulations that prohibit the leasing of sponsored employees to third parties.",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
•  Remote is unable to sponsor work permits for employees in Australia due to local regulations that prohibit the leasing of sponsored employees to third parties",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Ocenia,Australia,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Ocenia,Australia,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Austria,Bradford Jacobs,Jasmine,Preferred Vendor,Local EOR ,EUR 650 - 750,EUR 650 - 750,1 month,N/A,N/A,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Austria,Enterprise Workforce Solutions,David,,Local EOR ,,,,,,,EUR 450,N/A,N/A,N/A,N/A,,,Direct Entity,,omar@ews-limited.com,Tony Smith,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Austria,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Austria,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Austria,Go Global,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,EUR 380,EUR 380 ,,EUR 380,,,,Unknown,,sissi.zhao@goglobalgeo.com,Sissi Zhao,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1VimvcvPQCviW6ntJhvkOIi9BlgDLgwA-9wVVcwuHHZ0/edit,"July 15, 2026",
Europe,Austria,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Austria,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Austria,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
